ROI	OldCommunity	ΔDM	ΔSM	ΔV	ΔCO	ΔFP	grpcmp
7	DM	0.68	0	-1.12	0	0	EC
14	SM	0.88	-4.6	3.36	1.48	0.88	EC
25	SM	-1.36	-3.28	3.64	0.92	1.56	EC
60	CO	1.68	8.84	2.12	1.2	-0.72	EC
65	SM	2.68	-0.6	10.52	2.8	2.04	EC
147	V	6.2	5.44	0.44	3.68	0.24	EC
148	V	0.68	7.76	1.44	0.48	1.64	EC
150	V	0.32	7.72	2.32	0	0.8	EC
151	V	2.48	3.36	-1.04	0.12	1.08	EC
152	V	2.8	7.68	5.84	3.32	2.6	EC
160	V	2.36	1.32	1	-0.4	1.2	EC
161	V	1.84	5.56	-0.48	-0.24	2.12	EC
164	V	3.36	4.2	0.2	0	1.88	EC
170	V	2.6	1.84	-2.28	0.48	2.92	EC
171	V	2.32	2.56	1.84	0.32	1.08	EC
212	CO	-0.04	1.12	-0.36	-6.04	-0.4	EC
215	CO	1.32	0.84	-0.56	-3.48	-2.56	EC
222	CO	0.64	1.16	0.52	-7.68	-0.96	EC
225	CO	-3.48	4.32	-0.08	-5.04	-6.32	EC
226	CO	1.8	1.12	2.24	-5.48	0.24	EC
227	CO	2.24	5.84	0.64	1.72	-0.16	EC
228	CO	6	6.8	0.32	3	4.76	EC
230	CO	0.16	3.56	0	-1.32	-1	EC
233	CO	-0.88	2.8	-0.52	-0.6	0.44	EC
234	CO	-6.96	1.12	-0.56	-6.2	-4.6	EC
243	DM	-0.4	5.52	-1	7.08	-0.12	EC
245	O	0.44	4	-9.36	1.84	-0.24	EC
246	O	0.04	0	-5.72	0.52	0	EC
5	DM	-0.52	0	0	0	0.04	EL
15	SM	1.92	2.76	-1.12	0.32	2.44	EL
22	SM	-1.44	5.12	7.2	0.32	0.96	EL
23	SM	0.04	3.88	5.44	0.36	0.24	EL
24	SM	-0.32	6.4	3.2	-2.36	1.76	EL
27	SM	0	11.16	6.12	-1	0.48	EL
30	SM	0.16	2.08	8	-0.08	2.64	EL
38	SM	-0.96	1.84	5.16	0.04	1.76	EL
48	SM	-0.48	-0.68	0.12	2.36	2.12	EL
52	CO	1.28	5.92	3.12	1.72	1.4	EL
62	SM	0.16	10.92	2.24	6.8	0.64	EL
63	SM	1.2	2.48	-0.44	2.8	0.44	EL
69	SM	-0.32	0.96	2.2	-1.12	1.2	EL
71	SM	-0.64	3.2	2.24	-2.68	0	EL
72	SM	0.16	7.28	1.12	-0.24	1.72	EL
73	SM	1.04	3.08	1.96	3.72	0.16	EL
91	DM	-0.64	-0.08	-0.72	1.84	-0.12	EL
149	V	2.28	11.24	0.56	0.36	0.68	EL
156	V	1.48	10.76	1.28	0.64	1.08	EL
172	V	1.8	2.8	-0.24	1.16	1.88	EL
8	DM	-1.56	-1.24	-2.68	0.36	-1.44	AL
43	SM	0	-2.92	1.32	1.88	0.12	AL
79	DM	-4.8	3.04	2.12	-0.68	1.4	AL
86	DM	0.84	-1.64	-1.12	-0.8	1.24	AL
90	DM	0.88	2.6	-1	-0.08	0.32	AL
104	DM	-1.92	0.48	-1.08	1	2.12	AL
105	DM	5.76	-1.2	-0.8	2.16	1.12	AL
108	DM	-0.16	0.2	-0.2	3.96	1	AL
112	DM	1.12	1.24	-0.2	0.48	0.12	AL
115	DM	0.12	-0.92	-0.52	0.8	1.36	AL
146	V	2.88	0.88	-2.28	3.08	0.32	AL
151	V	4.68	2.12	-2.56	2.2	1.6	AL
158	V	1.04	1.16	1.44	1.6	0.96	AL
165	V	0.96	-0.32	-1.2	2.68	0.28	AL
177	FP	2.12	0.88	0.44	-3.6	-5.64	AL
202	FP	6.8	0.28	0	-6	-4.6	AL
220	CO	0.12	0.92	0.32	-0.8	-0.44	AL
